wiki_header,class,key_1,key_2
どん底 (飲食店),6,r_01_どん底 (飲食店)_平易化.xlsx,r_02_どん底 (飲食店)_平易化.xlsx
佐原の町並み,5,r_01_佐原の町並み_平易化.xlsx,r_02_佐原の町並み_平易化.xlsx
因州和紙,5,r_01_因州和紙_平易化.xlsx,r_02_因州和紙_平易化.xlsx
レジサイド (チャールズ1世),2,r_01_レジサイド (チャールズ1世)_平易化.xlsx,r_02_レジサイド (チャールズ1世)_平易化.xlsx
アーサー・コナン・ドイル,9,r_01_アーサー・コナン・ドイル_平易化.xlsx,r_02_アーサー・コナン・ドイル_平易化.xlsx
浜島町迫子,2,r_01_浜島町迫子_平易化.xlsx,r_02_浜島町迫子_平易化.xlsx
ルバーブ,4,r_01_ルバーブ_平易化.xlsx,r_02_ルバーブ_平易化.xlsx
タチアナ (虎),4,r_01_タチアナ (虎)_平易化.xlsx,r_02_タチアナ (虎)_平易化.xlsx
ドナルド・キーン,9,r_01_ドナルド・キーン_平易化.xlsx,r_02_ドナルド・キーン_平易化.xlsx
古細菌,4,r_01_古細菌_平易化.xlsx,r_02_古細菌_平易化.xlsx
クウェート共和国,2,r_01_クウェート共和国_平易化.xlsx,r_02_クウェート共和国_平易化.xlsx
鼓膜器官,4,r_01_鼓膜器官_平易化.xlsx,r_02_鼓膜器官_平易化.xlsx
エリザベス1世,2,r_01_エリザベス1世_平易化.xlsx,r_02_エリザベス1世_平易化.xlsx
神聖ローマ帝国,2,r_01_神聖ローマ帝国_平易化.xlsx,r_02_神聖ローマ帝国_平易化.xlsx
尾道,2,r_01_尾道_平易化.xlsx,r_02_尾道_平易化.xlsx
藍藻,4,r_01_藍藻_平易化.xlsx,r_02_藍藻_平易化.xlsx
オーヴァーロード作戦,2,r_01_オーヴァーロード作戦_平易化.xlsx,r_02_オーヴァーロード作戦_平易化.xlsx
レオ・シラード,2,r_01_レオ・シラード_平易化.xlsx,r_02_レオ・シラード_平易化.xlsx
澄江の化石産地,4,r_01_澄江の化石産地_平易化.xlsx,r_02_澄江の化石産地_平易化.xlsx
トゲウオ科,4,r_01_トゲウオ科_平易化.xlsx,r_02_トゲウオ科_平易化.xlsx
福澤桃介,2,r_01_福澤桃介_平易化.xlsx,r_02_福澤桃介_平易化.xlsx
ル・コルビュジエの建築作品-近代建築運動への顕著な貢献-,7,r_01_ル・コルビュジエの建築作品-近代建築運動への顕著な貢献-_平易化.xlsx,r_02_ル・コルビュジエの建築作品-近代建築運動への顕著な貢献-_平易化.xlsx
ブィリーナ,9,r_01_ブィリーナ_平易化.xlsx,r_02_ブィリーナ_平易化.xlsx
浜詰,2,r_01_浜詰_平易化.xlsx,r_02_浜詰_平易化.xlsx
コリン・レンフルー,2,r_01_コリン・レンフルー_平易化.xlsx,r_02_コリン・レンフルー_平易化.xlsx
鳥取しゃんしゃん祭,3,r_01_鳥取しゃんしゃん祭_平易化.xlsx,r_02_鳥取しゃんしゃん祭_平易化.xlsx
フォード島,2,r_01_フォード島_平易化.xlsx,r_02_フォード島_平易化.xlsx
大北方戦争,2,r_01_大北方戦争_平易化.xlsx,r_02_大北方戦争_平易化.xlsx
スウィーニー・トッド フリート街の悪魔の理髪師,7,r_01_スウィーニー・トッド フリート街の悪魔の理髪師_平易化.xlsx,r_02_スウィーニー・トッド フリート街の悪魔の理髪師_平易化.xlsx
翔鳳丸,5,r_01_翔鳳丸_平易化.xlsx,r_02_翔鳳丸_平易化.xlsx
きらめき☆プロジェクト,7,r_01_きらめき☆プロジェクト_平易化.xlsx,r_02_きらめき☆プロジェクト_平易化.xlsx
アラ・カチュー,3,r_01_アラ・カチュー_平易化.xlsx,r_02_アラ・カチュー_平易化.xlsx
渋谷スクランブル交差点,2,r_01_渋谷スクランブル交差点_平易化.xlsx,r_02_渋谷スクランブル交差点_平易化.xlsx
樺太の戦い (1945年),2,r_01_樺太の戦い (1945年)_平易化.xlsx,r_02_樺太の戦い (1945年)_平易化.xlsx
銅,4,r_01_銅_平易化.xlsx,r_02_銅_平易化.xlsx
鏡のヴィーナス,7,r_01_鏡のヴィーナス_平易化.xlsx,r_02_鏡のヴィーナス_平易化.xlsx
江戸城跡のヒカリゴケ生育地,4,r_01_江戸城跡のヒカリゴケ生育地_平易化.xlsx,r_02_江戸城跡のヒカリゴケ生育地_平易化.xlsx
グリーンハウス (藤沢市),5,r_01_グリーンハウス (藤沢市)_平易化.xlsx,r_02_グリーンハウス (藤沢市)_平易化.xlsx
UDデジタル教科書体,0,r_01_UDデジタル教科書体_平易化.xlsx,r_02_UDデジタル教科書体_平易化.xlsx
マルコ・ポーロ,2,r_01_マルコ・ポーロ_平易化.xlsx,r_02_マルコ・ポーロ_平易化.xlsx
小林一茶,9,r_01_小林一茶_平易化.xlsx,r_02_小林一茶_平易化.xlsx
山梨交通,6,r_01_山梨交通_平易化.xlsx,r_02_山梨交通_平易化.xlsx
ニオブ,4,r_01_ニオブ_平易化.xlsx,r_02_ニオブ_平易化.xlsx
第1回印象派展,7,r_01_第1回印象派展_平易化.xlsx,r_02_第1回印象派展_平易化.xlsx
プトレマイオス朝,2,r_01_プトレマイオス朝_平易化.xlsx,r_02_プトレマイオス朝_平易化.xlsx
ヤマザキ春のパンまつり,6,r_01_ヤマザキ春のパンまつり_平易化.xlsx,r_02_ヤマザキ春のパンまつり_平易化.xlsx
中小坂鉄山,5,r_01_中小坂鉄山_平易化.xlsx,r_02_中小坂鉄山_平易化.xlsx
白鳥の湖,7,r_01_白鳥の湖_平易化.xlsx,r_02_白鳥の湖_平易化.xlsx
日本ハリストス正教会,1,r_01_日本ハリストス正教会_平易化.xlsx,r_02_日本ハリストス正教会_平易化.xlsx
伊藤初代,2,r_01_伊藤初代_平易化.xlsx,r_02_伊藤初代_平易化.xlsx
史通,0,r_01_史通_平易化.xlsx,r_02_史通_平易化.xlsx
日吉町吉利,2,r_01_日吉町吉利_平易化.xlsx,r_02_日吉町吉利_平易化.xlsx
十六島ホタルエビ発生地,4,r_01_十六島ホタルエビ発生地_平易化.xlsx,r_02_十六島ホタルエビ発生地_平易化.xlsx
貴族院 (イギリス),3,r_01_貴族院 (イギリス)_平易化.xlsx,r_02_貴族院 (イギリス)_平易化.xlsx
中島敦,9,r_01_中島敦_平易化.xlsx,r_02_中島敦_平易化.xlsx
ユニバーサル・シティ・スタジオ対任天堂裁判,3,r_01_ユニバーサル・シティ・スタジオ対任天堂裁判_平易化.xlsx,r_02_ユニバーサル・シティ・スタジオ対任天堂裁判_平易化.xlsx
アルブエラの戦い,2,r_01_アルブエラの戦い_平易化.xlsx,r_02_アルブエラの戦い_平易化.xlsx
タハリール広場,2,r_01_タハリール広場_平易化.xlsx,r_02_タハリール広場_平易化.xlsx
神戸居留地競馬,7,r_01_神戸居留地競馬_平易化.xlsx,r_02_神戸居留地競馬_平易化.xlsx
神話,1,r_01_神話_平易化.xlsx,r_02_神話_平易化.xlsx
フレデリック・ディーリアス,7,r_01_フレデリック・ディーリアス_平易化.xlsx,r_02_フレデリック・ディーリアス_平易化.xlsx
ダブルキャスト (ゲーム),7,r_01_ダブルキャスト (ゲーム)_平易化.xlsx,r_02_ダブルキャスト (ゲーム)_平易化.xlsx
アメリカン航空587便墜落事故,5,r_01_アメリカン航空587便墜落事故_平易化.xlsx,r_02_アメリカン航空587便墜落事故_平易化.xlsx
アウステルリッツの戦い,2,r_01_アウステルリッツの戦い_平易化.xlsx,r_02_アウステルリッツの戦い_平易化.xlsx
ヒトカラ,6,r_01_ヒトカラ_平易化.xlsx,r_02_ヒトカラ_平易化.xlsx
平和大通り,2,r_01_平和大通り_平易化.xlsx,r_02_平和大通り_平易化.xlsx
エアバスA300,5,s_01_エアバスA300_平易化.xlsx,s_02_エアバスA300_平易化.xlsx
ツタンカーメン,2,r_01_ツタンカーメン_平易化.xlsx,r_02_ツタンカーメン_平易化.xlsx
比羅夫丸,5,r_01_比羅夫丸_平易化.xlsx,r_02_比羅夫丸_平易化.xlsx
ヘンリー・ジョン・テンプル (第3代パーマストン子爵),2,r_01_ヘンリー・ジョン・テンプル (第3代パーマストン子爵)_平易化.xlsx,r_02_ヘンリー・ジョン・テンプル (第3代パーマストン子爵)_平易化.xlsx
ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵),2,r_01_ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵)_平易化.xlsx,r_02_ウィリアム・キャヴェンディッシュ＝ベンティンク (第3代ポートランド公爵)_平易化.xlsx
赤羽台トンネル,5,r_01_赤羽台トンネル_平易化.xlsx,r_02_赤羽台トンネル_平易化.xlsx
ウイスキー戦争,2,r_01_ウイスキー戦争_平易化.xlsx,r_02_ウイスキー戦争_平易化.xlsx
ハンブルクの倉庫街とチリハウスを含む商館街,2,r_01_ハンブルクの倉庫街とチリハウスを含む商館街_平易化.xlsx,r_02_ハンブルクの倉庫街とチリハウスを含む商館街_平易化.xlsx
オトマール・スウィトナー,7,r_01_オトマール・スウィトナー_平易化.xlsx,r_02_オトマール・スウィトナー_平易化.xlsx
日本の深夜バス,6,r_01_日本の深夜バス_平易化.xlsx,r_02_日本の深夜バス_平易化.xlsx
トウシューズ,7,r_01_トウシューズ_平易化.xlsx,r_02_トウシューズ_平易化.xlsx
垂揺球儀,4,r_01_垂揺球儀_平易化.xlsx,r_02_垂揺球儀_平易化.xlsx
ハワイ併合,2,r_01_ハワイ併合_平易化.xlsx,r_02_ハワイ併合_平易化.xlsx
コウイカ,4,r_01_コウイカ_平易化.xlsx,r_02_コウイカ_平易化.xlsx
東急7000系電車 (初代),5,r_01_東急7000系電車 (初代)_平易化.xlsx,r_02_東急7000系電車 (初代)_平易化.xlsx
乗り心地,5,r_01_乗り心地_平易化.xlsx,r_02_乗り心地_平易化.xlsx
振武寮,2,r_01_振武寮_平易化.xlsx,r_02_振武寮_平易化.xlsx
荒川橋,5,r_01_荒川橋_平易化.xlsx,r_02_荒川橋_平易化.xlsx
ヒジュラ,1,r_01_ヒジュラ_平易化.xlsx,r_02_ヒジュラ_平易化.xlsx
碧海電気鉄道,6,r_01_碧海電気鉄道_平易化.xlsx,r_02_碧海電気鉄道_平易化.xlsx
ローマによるブリタンニア侵攻 (紀元前55年-紀元前54年),2,r_01_ローマによるブリタンニア侵攻 (紀元前55年-紀元前54年)_平易化.xlsx,r_02_ローマによるブリタンニア侵攻 (紀元前55年-紀元前54年)_平易化.xlsx
マー・ワラー・アンナフル,2,r_01_マー・ワラー・アンナフル_平易化.xlsx,r_02_マー・ワラー・アンナフル_平易化.xlsx
ルーヴル美術館,7,r_01_ルーヴル美術館_平易化.xlsx,r_02_ルーヴル美術館_平易化.xlsx
京子,4,r_01_京子_平易化.xlsx,r_02_京子_平易化.xlsx
榎本武揚,2,r_01_榎本武揚_平易化.xlsx,r_02_榎本武揚_平易化.xlsx
南華文芸・北新書局事件,2,r_01_南華文芸・北新書局事件_平易化.xlsx,r_02_南華文芸・北新書局事件_平易化.xlsx
はるひ野駅,6,r_01_はるひ野駅_平易化.xlsx,r_02_はるひ野駅_平易化.xlsx
アヴァ王朝,2,r_01_アヴァ王朝_平易化.xlsx,r_02_アヴァ王朝_平易化.xlsx
ネフェルティティの胸像,7,r_01_ネフェルティティの胸像_平易化.xlsx,r_02_ネフェルティティの胸像_平易化.xlsx
第一白川橋梁,5,r_01_第一白川橋梁_平易化.xlsx,r_02_第一白川橋梁_平易化.xlsx
佐久島,2,r_01_佐久島_平易化.xlsx,r_02_佐久島_平易化.xlsx
後醍醐天皇宸翰天長印信（蠟牋）,7,r_01_後醍醐天皇宸翰天長印信（蠟牋）_平易化.xlsx,r_02_後醍醐天皇宸翰天長印信（蠟牋）_平易化.xlsx
ファーティマ朝のエジプト侵攻 (914年-915年),2,r_01_ファーティマ朝のエジプト侵攻 (914年-915年)_平易化.xlsx,r_02_ファーティマ朝のエジプト侵攻 (914年-915年)_平易化.xlsx
エッジワース・カイパーベルト,4,r_01_エッジワース・カイパーベルト_平易化.xlsx,r_02_エッジワース・カイパーベルト_平易化.xlsx
エアバスA310,5,r_01_エアバスA310_平易化.xlsx,r_02_エアバスA310_平易化.xlsx
ローリー (ノースカロライナ州),2,r_01_ローリー (ノースカロライナ州)_平易化.xlsx,r_02_ローリー (ノースカロライナ州)_平易化.xlsx
大西瀧治郎,2,r_01_大西瀧治郎_平易化.xlsx,r_02_大西瀧治郎_平易化.xlsx
蔵書印,0,r_01_蔵書印_平易化.xlsx,r_02_蔵書印_平易化.xlsx
司馬遷,2,r_01_司馬遷_平易化.xlsx,r_02_司馬遷_平易化.xlsx
水尻池,2,r_01_水尻池_平易化.xlsx,r_02_水尻池_平易化.xlsx
抗酸化物質,4,s_01_抗酸化物質_平易化.xlsx,s_02_抗酸化物質.xlsx
中島飛行機半田製作所,2,r_01_中島飛行機半田製作所_平易化.xlsx,r_02_中島飛行機半田製作所_平易化.xlsx
エストニアの言語,8,r_01_エストニアの言語_平易化.xlsx,r_02_エストニアの言語_平易化.xlsx
ヘンリー・キャヴェンディッシュ,2,r_01_ヘンリー・キャヴェンディッシュ_平易化.xlsx,r_02_ヘンリー・キャヴェンディッシュ_平易化.xlsx
富山県営渡船,6,r_01_富山県営渡船_平易化.xlsx,r_02_富山県営渡船_平易化.xlsx
滝野川ゴボウ,6,r_01_滝野川ゴボウ_平易化.xlsx,r_02_滝野川ゴボウ_平易化.xlsx
ベルカ、吠えないのか?,9,r_01_ベルカ、吠えないのか__平易化.xlsx,r_02_ベルカ、吠えないのか__平易化.xlsx
伊那市立図書館,0,r_01_伊那市立図書館_平易化.xlsx,r_02_伊那市立図書館_平易化.xlsx
スラヴ民族の北東ルーシへの移動,2,r_01_スラヴ民族の北東ルーシへの移動_平易化.xlsx,r_02_スラヴ民族の北東ルーシへの移動_平易化.xlsx
矢数道明,2,r_01_矢数道明_平易化.xlsx,r_02_矢数道明_平易化.xlsx
ルーマニアのユダヤ人の歴史,3,r_01_ルーマニアのユダヤ人の歴史_平易化.xlsx,r_02_ルーマニアのユダヤ人の歴史_平易化.xlsx
幸手宿,2,r_01_幸手宿_平易化.xlsx,r_02_幸手宿_平易化.xlsx
アカウキクサ属,4,r_01_アカウキクサ属_平易化.xlsx,r_02_アカウキクサ属_平易化.xlsx
伊勢電気鉄道ハ451形電車,5,r_01_伊勢電気鉄道ハ451形電車_平易化.xlsx,r_02_伊勢電気鉄道ハ451形電車_平易化.xlsx
お化け暦,4,r_01_お化け暦_平易化.xlsx,r_02_お化け暦_平易化.xlsx
鳥羽磯部漁業協同組合,6,r_01_鳥羽磯部漁業協同組合_平易化.xlsx,r_02_鳥羽磯部漁業協同組合_平易化.xlsx
ミシェル・プラティニ,7,r_01_ミシェル・プラティニ_平易化.xlsx,r_02_ミシェル・プラティニ_平易化.xlsx
ケンタッキーフライドチキンの歴史,6,r_01_ケンタッキーフライドチキンの歴史_平易化.xlsx,r_02_ケンタッキーフライドチキンの歴史_平易化.xlsx
ジャバウォック,9,r_01_ジャバウォック_平易化.xlsx,r_02_ジャバウォック_平易化.xlsx
名古屋鉄道デセホ700形電車,5,r_01_名古屋鉄道デセホ700形電車_平易化.xlsx,r_02_名古屋鉄道デセホ700形電車_平易化.xlsx
ロンゴロンゴ,8,r_01_ロンゴロンゴ_平易化.xlsx,r_02_ロンゴロンゴ_平易化.xlsx
神奈川中央交通,6,r_01_神奈川中央交通_平易化.xlsx,r_02_神奈川中央交通_平易化.xlsx
株仲間再興令,2,r_01_株仲間再興令_平易化.xlsx,r_02_株仲間再興令_平易化.xlsx
ビワハヤヒデ,7,r_01_ビワハヤヒデ_平易化.xlsx,r_02_ビワハヤヒデ_平易化.xlsx
キューバの雪解け,2,r_01_キューバの雪解け_平易化.xlsx,r_02_キューバの雪解け_平易化.xlsx
秒,4,r_01_秒_平易化.xlsx,r_02_秒_平易化.xlsx
浜松市立中央図書館,0,r_01_浜松市立中央図書館_平易化.xlsx,r_02_浜松市立中央図書館_平易化.xlsx
佐野文子,2,r_01_佐野文子_平易化.xlsx,r_02_佐野文子_平易化.xlsx
岩手・宮城内陸地震,4,r_01_岩手・宮城内陸地震_平易化.xlsx,r_02_岩手・宮城内陸地震_平易化.xlsx
九十九王子 (田辺市中辺路町),1,r_01_九十九王子 (田辺市中辺路町)_平易化.xlsx,r_02_九十九王子 (田辺市中辺路町)_平易化.xlsx
クロード・モネ,7,r_01_クロード・モネ_平易化.xlsx,r_02_クロード・モネ_平易化.xlsx
琉球の朝貢と冊封の歴史,2,r_01_琉球の朝貢と冊封の歴史_平易化.xlsx,r_02_琉球の朝貢と冊封の歴史_平易化.xlsx
長野電灯,5,r_01_長野電灯_平易化.xlsx,r_02_長野電灯_平易化.xlsx
奥澤神社,1,r_01_奥澤神社_平易化.xlsx,r_02_奥澤神社_平易化.xlsx
三嶋大社,1,r_01_三嶋大社_平易化.xlsx,r_02_三嶋大社_平易化.xlsx
蜂蜜,5,s_01_蜂蜜_平易化.xlsx,s_02_蜂蜜.xlsx
豊田市中央図書館,0,r_01_豊田市中央図書館_平易化.xlsx,r_02_豊田市中央図書館_平易化.xlsx
エアバスA330,5,r_01_エアバスA330_平易化.xlsx,r_02_エアバスA330_平易化.xlsx
主系列星,4,r_01_主系列星_平易化.xlsx,r_02_主系列星_平易化.xlsx
中国攻め,2,r_01_中国攻め_平易化.xlsx,r_02_中国攻め_平易化.xlsx
第一次シュレージエン戦争,2,r_01_第一次シュレージエン戦争_平易化.xlsx,r_02_第一次シュレージエン戦争_平易化.xlsx
中国伊斯蘭教協会,1,r_01_中国伊斯蘭教協会_平易化.xlsx,r_02_中国伊斯蘭教協会_平易化.xlsx
シェイクスピア別人説,9,r_01_シェイクスピア別人説_平易化.xlsx,r_02_シェイクスピア別人説_平易化.xlsx
津田応助,2,r_01_津田応助_平易化.xlsx,r_02_津田応助_平易化.xlsx
ザクロ,4,r_01_ザクロ_平易化.xlsx,r_02_ザクロ_平易化.xlsx
レオシュ・ヤナーチェク,7,s_01_レオシュ・ヤナーチェク_平易化.xlsx,s_02_レオシュ・ヤナーチェク.xlsx
八丈島事件,3,r_01_八丈島事件_平易化.xlsx,r_02_八丈島事件_平易化.xlsx
フェズ,2,r_01_フェズ_平易化.xlsx,r_02_フェズ_平易化.xlsx
エナメル質,4,s_01_エナメル質_平易化.xlsx,s_02_エナメル質_平易化.xlsx
町屋 (商家),5,r_01_町屋 (商家)_平易化.xlsx,r_02_町屋 (商家)_平易化.xlsx
2019年逃亡犯条例改正案,3,r_01_2019年逃亡犯条例改正案_平易化.xlsx,r_02_2019年逃亡犯条例改正案_平易化.xlsx
那珂湊反射炉,2,r_01_那珂湊反射炉_平易化.xlsx,r_02_那珂湊反射炉_平易化.xlsx
暗黒時代 (古代ギリシア),2,r_01_暗黒時代 (古代ギリシア)_平易化.xlsx,r_02_暗黒時代 (古代ギリシア)_平易化.xlsx
京急700形電車 (2代),5,r_01_京急700形電車 (2代)_平易化.xlsx,r_02_京急700形電車 (2代)_平易化.xlsx
アメリカ施政権下の小笠原諸島,2,r_01_アメリカ施政権下の小笠原諸島_平易化.xlsx,r_02_アメリカ施政権下の小笠原諸島_平易化.xlsx
変形菌,4,r_01_変形菌_平易化.xlsx,r_02_変形菌_平易化.xlsx
死神 (日本),3,r_01_死神 (日本)_平易化.xlsx,r_02_死神 (日本)_平易化.xlsx
シビュラの託宣,1,s_01_シビュラの託宣_平易化.xlsx,s_02_シビュラの託宣_平易化.xlsx
中部電力 (1930-1937),5,r_01_中部電力 (1930-1937)_平易化.xlsx,r_02_中部電力 (1930-1937)_平易化.xlsx
カール・ミュンヒンガー,7,r_01_カール・ミュンヒンガー_平易化.xlsx,r_02_カール・ミュンヒンガー_平易化.xlsx
原谷 (京都市),2,r_01_原谷 (京都市)_平易化.xlsx,r_02_原谷 (京都市)_平易化.xlsx
金沢電気軌道,6,r_01_金沢電気軌道_平易化.xlsx,r_02_金沢電気軌道_平易化.xlsx
名古屋鉄道トク3号電車,5,r_01_名古屋鉄道トク3号電車_平易化.xlsx,r_02_名古屋鉄道トク3号電車_平易化.xlsx
ロンドン自然史博物館,4,r_01_ロンドン自然史博物館_平易化.xlsx,r_02_ロンドン自然史博物館_平易化.xlsx
フレデリック・ノース (第2代ギルフォード伯爵),2,r_01_フレデリック・ノース (第2代ギルフォード伯爵)_平易化.xlsx,r_02_フレデリック・ノース (第2代ギルフォード伯爵)_平易化.xlsx
軍服 (ドイツ国防軍陸軍),3,r_01_軍服 (ドイツ国防軍陸軍)_平易化.xlsx,r_02_軍服 (ドイツ国防軍陸軍)_平易化.xlsx
上山寺,1,r_01_上山寺_平易化.xlsx,r_02_上山寺_平易化.xlsx
ガズデン購入50セント硬貨,3,r_01_ガズデン購入50セント硬貨_平易化.xlsx,r_02_ガズデン購入50セント硬貨_平易化.xlsx
ピュー,2,r_01_ピュー_平易化.xlsx,r_02_ピュー_平易化.xlsx
三億円別件逮捕事件,0,r_01_三億円別件逮捕事件_平易化.xlsx,r_02_三億円別件逮捕事件_平易化.xlsx
蓮田善明,9,r_01_蓮田善明_平易化.xlsx,r_02_蓮田善明_平易化.xlsx
住吉大社,1,r_01_住吉大社_平易化.xlsx,r_02_住吉大社_平易化.xlsx
国立市主婦殺害事件,3,r_01_国立市主婦殺害事件_平易化.xlsx,r_02_国立市主婦殺害事件_平易化.xlsx
水素吸蔵合金,5,r_01_水素吸蔵合金_平易化.xlsx,r_02_水素吸蔵合金_平易化.xlsx
染色体説,4,r_01_染色体説_平易化.xlsx,r_02_染色体説_平易化.xlsx
アーサー・バルフォア,2,r_01_アーサー・バルフォア_平易化.xlsx,r_02_アーサー・バルフォア_平易化.xlsx
稲沢市図書館,0,r_01_稲沢市図書館_平易化.xlsx,r_02_稲沢市図書館_平易化.xlsx
HTV技術実証機,5,r_01_HTV技術実証機_平易化.xlsx,r_02_HTV技術実証機_平易化.xlsx
京王8000系電車,5,r_01_京王8000系電車_平易化.xlsx,r_02_京王8000系電車_平易化.xlsx
チャールズ・ジェームズ・フォックス,2,r_01_チャールズ・ジェームズ・フォックス_平易化.xlsx,r_02_チャールズ・ジェームズ・フォックス_平易化.xlsx
セルピン,4,r_01_セルピン_平易化.xlsx,r_02_セルピン_平易化.xlsx
保阪潤治,2,r_01_保阪潤治_平易化.xlsx,r_02_保阪潤治_平易化.xlsx
ムフタール・アッ＝サカフィー,2,r_01_ムフタール・アッ＝サカフィー_平易化.xlsx,r_02_ムフタール・アッ＝サカフィー_平易化.xlsx
トーキー,7,r_01_トーキー_平易化.xlsx,r_02_トーキー_平易化.xlsx
足袋蔵,5,r_01_足袋蔵_平易化.xlsx,r_02_足袋蔵_平易化.xlsx
富山市立図書館,0,r_01_富山市立図書館_平易化.xlsx,r_02_富山市立図書館_平易化.xlsx
日本最古のりんごの木,4,r_01_日本最古のりんごの木_平易化.xlsx,r_02_日本最古のりんごの木_平易化.xlsx
Justy×Nasty 〜魔王はじめました〜,7,r_01_Justy×Nasty 〜魔王はじめました〜_平易化.xlsx,r_02_Justy×Nasty 〜魔王はじめました〜_平易化.xlsx
押出成形,5,r_01_押出成形_平易化.xlsx,r_02_押出成形_平易化.xlsx
ボストン,2,r_01_ボストン_平易化.xlsx,r_02_ボストン_平易化.xlsx
名古屋電力,5,r_01_名古屋電力_平易化.xlsx,r_02_名古屋電力_平易化.xlsx
白川郷・五箇山の合掌造り集落,7,r_01_白川郷・五箇山の合掌造り集落_平易化.xlsx,r_02_白川郷・五箇山の合掌造り集落_平易化.xlsx
グリム童話,9,r_01_グリム童話_平易化.xlsx,r_02_グリム童話_平易化.xlsx
香良洲町,2,r_01_香良洲町_平易化.xlsx,r_02_香良洲町_平易化.xlsx
帯広市図書館,0,r_01_帯広市図書館_平易化.xlsx,r_02_帯広市図書館_平易化.xlsx
ティンツフィールド,5,r_01_ティンツフィールド_平易化.xlsx,r_02_ティンツフィールド_平易化.xlsx
中川イセ,2,r_01_中川イセ_平易化.xlsx,r_02_中川イセ_平易化.xlsx
日本の両生類一覧,4,r_01_日本の両生類一覧_平易化.xlsx,r_02_日本の両生類一覧_平易化.xlsx
アン女王戦争,2,r_01_アン女王戦争_平易化.xlsx,r_02_アン女王戦争_平易化.xlsx
戦争レクイエム,7,r_01_戦争レクイエム_平易化.xlsx,r_02_戦争レクイエム_平易化.xlsx
カリウム,4,r_01_カリウム_平易化.xlsx,r_02_カリウム_平易化.xlsx
エビフリャー,8,r_01_エビフリャー_平易化.xlsx,r_02_エビフリャー_平易化.xlsx
ムハンマド3世 (ナスル朝),2,r_01_ムハンマド3世 (ナスル朝)_平易化.xlsx,r_02_ムハンマド3世 (ナスル朝)_平易化.xlsx
フルーツサンド,5,r_01_フルーツサンド_平易化.xlsx,r_02_フルーツサンド_平易化.xlsx
ヒューストン,2,r_01_ヒューストン_平易化.xlsx,r_02_ヒューストン_平易化.xlsx
名鉄3780系電車,5,r_01_名鉄3780系電車_平易化.xlsx,r_02_名鉄3780系電車_平易化.xlsx
織田信長,2,r_01_織田信長_平易化.xlsx,r_02_織田信長_平易化.xlsx
三島由紀夫,9,s_01_三島由紀夫_平易化.xlsx,s_02_三島由紀夫.xlsx
ムハンマド・アリー,2,s_01_ムハンマド・アリー_平易化.xlsx,s_02_ムハンマド・アリー_平易化.xlsx
スペンサー・コンプトン (初代ウィルミントン伯爵),2,r_01_スペンサー・コンプトン (初代ウィルミントン伯爵)_平易化.xlsx,r_02_スペンサー・コンプトン (初代ウィルミントン伯爵)_平易化.xlsx
オエンガス1世 (ピクト王),2,r_01_オエンガス1世 (ピクト王)_平易化.xlsx,r_02_オエンガス1世 (ピクト王)_平易化.xlsx
箱根火山の形成史,4,r_01_箱根火山の形成史_平易化.xlsx,r_02_箱根火山の形成史_平易化.xlsx
小田急電鉄のダイヤ改正,6,r_01_小田急電鉄のダイヤ改正_平易化.xlsx,r_02_小田急電鉄のダイヤ改正_平易化.xlsx
カルマルカサークル,7,r_01_カルマルカサークル_平易化.xlsx,r_02_カルマルカサークル_平易化.xlsx
フロギストン説,4,r_01_フロギストン説_平易化.xlsx,r_02_フロギストン説_平易化.xlsx
ジョゼフ・チェンバレン,2,r_01_ジョゼフ・チェンバレン_平易化.xlsx,r_02_ジョゼフ・チェンバレン_平易化.xlsx
チューリップ・バブル,3,r_01_チューリップ・バブル_平易化.xlsx,r_02_チューリップ・バブル_平易化.xlsx
木部,4,r_01_木部_平易化.xlsx,r_02_木部_平易化.xlsx
ジュゼッペ・ヴェルディ,7,r_01_ジュゼッペ・ヴェルディ_平易化.xlsx,r_02_ジュゼッペ・ヴェルディ_平易化.xlsx
四国同盟戦争,2,r_01_四国同盟戦争_平易化.xlsx,r_02_四国同盟戦争_平易化.xlsx
森巌寺 (世田谷区),1,r_01_森巌寺 (世田谷区)_平易化.xlsx,r_02_森巌寺 (世田谷区)_平易化.xlsx
緑藻,4,r_01_緑藻_平易化.xlsx,r_02_緑藻_平易化.xlsx
アヴィス王朝,2,r_01_アヴィス王朝_平易化.xlsx,r_02_アヴィス王朝_平易化.xlsx
東郷町藤川,2,r_01_東郷町藤川_平易化.xlsx,r_02_東郷町藤川_平易化.xlsx
お猿のかごや,7,r_01_お猿のかごや_平易化.xlsx,r_02_お猿のかごや_平易化.xlsx
鹿島清兵衛,7,r_01_鹿島清兵衛_平易化.xlsx,r_02_鹿島清兵衛_平易化.xlsx
北の大火,2,r_01_北の大火_平易化.xlsx,r_02_北の大火_平易化.xlsx
音戸の瀬戸,2,r_01_音戸の瀬戸_平易化.xlsx,r_02_音戸の瀬戸_平易化.xlsx
神饌,1,r_01_神饌_平易化.xlsx,r_02_神饌_平易化.xlsx
